PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Class1,Class2,Class3,Cherbourg,Queenstown,Southampton,Alone,FamSize,SameTickets,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_U,Master
1,0,0,0.26975,1,0,0.3381254838661527,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
2,1,1,0.46975,1,0,0.6858916529635944,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
3,1,1,0.31975,0,0,0.3507266966124076,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
4,1,1,0.43224999999999997,1,0,0.6394627518675874,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
5,0,0,0.43224999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
6,0,0,0.29474999999999996,0,0,0.3600260242486264,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
7,0,0,0.66975,0,0,0.635754966338881,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
8,0,0,0.01975,3,1,0.495831873839879,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,1
9,1,1,0.33225,0,2,0.3999337912742492,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,0
10,1,1,0.16975,1,0,0.5506031046482882,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0
11,1,1,0.04475,1,1,0.46043946366130095,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0
12,1,1,0.71975,0,0,0.5313325505056177,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
13,0,0,0.24474999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
14,0,0,0.48224999999999996,1,5,0.556695873257052,0,0,1,0,0,1,0,6,7,0,0,0,0,0,1,0
15,0,1,0.16975,0,0,0.3494505372759428,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
16,1,1,0.68225,0,0,0.45397386041263804,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
17,0,0,0.01975,4,1,0.5456498136790771,0,0,1,0,1,0,0,5,5,0,0,0,0,0,1,1
18,1,0,0.39475,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
19,0,1,0.38225,1,0,0.47179586137623153,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
20,1,1,0.30724999999999997,0,0,0.33763919258513786,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
21,0,0,0.43224999999999997,0,0,0.5281013477114938,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0
22,1,0,0.41974999999999996,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
23,1,1,0.18225,0,0,0.3525865902148651,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
24,1,0,0.34475,0,0,0.5764076106287911,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
25,0,1,0.09475,3,1,0.495831873839879,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,0
26,1,1,0.46975,1,5,0.5572534209632187,0,0,1,0,0,1,0,6,4,0,0,0,0,0,1,0
27,0,0,0.25725,0,0,0.33763919258513786,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
28,0,0,0.23224999999999998,3,2,0.8934502391534316,1,0,0,0,0,1,0,5,4,0,0,1,0,0,0,0
29,1,1,0.21974999999999997,0,0,0.3499023202398945,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
30,0,0,0.26975,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
31,0,0,0.49474999999999997,0,0,0.5380012918108712,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,1,1,0.34475,1,0,0.8001979354812081,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
33,1,1,0.38225,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
34,0,0,0.81975,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
35,0,0,0.34475,1,0,0.7083728358165282,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0
36,0,0,0.5197499999999999,1,0,0.6361712049470615,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0
37,1,0,0.28225,0,0,0.3377209927336551,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
38,0,0,0.25725,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
39,0,1,0.21974999999999997,2,0,0.47179586137623153,0,0,1,0,0,1,0,2,2,0,0,0,0,0,1,0
40,1,1,0.16975,1,0,0.40135896919365455,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0
41,0,1,0.49474999999999997,1,0,0.3763856068398255,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
42,0,1,0.33225,1,0,0.49528655446802217,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0
43,0,0,0.16975,0,0,0.3502016019446998,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
44,1,1,0.03225,1,2,0.6010920603306373,0,1,0,1,0,0,0,3,3,0,0,0,0,0,1,0
45,1,1,0.23224999999999998,0,0,0.3499023202398945,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
46,0,0,0.33225,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
47,0,0,0.46975,1,0,0.4491904349236085,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
48,1,1,0.73225,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
49,0,0,0.39475,2,0,0.5001585548138242,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0
50,0,1,0.21974999999999997,1,0,0.4701002597957256,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0
51,0,0,0.08225,4,1,0.5938102861020564,0,0,1,0,0,1,0,5,6,0,0,0,0,0,1,1
52,0,0,0.25725,0,0,0.34846667530788156,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
53,1,1,0.60725,1,0,0.6975306263001565,1,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0
54,1,1,0.35724999999999996,1,0,0.5281013477114938,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
55,0,0,0.80725,0,1,0.6638133911495926,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
56,1,0,0.36974999999999997,0,0,0.5764076106287911,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
57,1,1,0.25725,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
58,0,0,0.351,0,0,0.3377209927336551,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
59,1,1,0.05725,1,2,0.5381641153575258,0,1,0,0,0,1,0,3,3,0,0,0,0,0,1,0
60,0,0,0.13225,5,2,0.6199594201430055,0,0,1,0,0,1,0,7,6,0,0,0,0,0,1,1
61,0,0,0.26975,0,0,0.3377209927336551,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
62,1,1,0.46975,0,0,0.7041351302819917,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
63,0,0,0.55725,1,0,0.7108659481313712,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
64,0,0,0.04475,3,2,0.5389979395502239,0,0,1,0,0,1,0,5,6,0,0,0,0,0,1,1
65,0,0,0.34475,0,0,0.5380012918108712,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
66,1,0,0.005124999999999999,1,1,0.44670266490621674,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,1
67,1,1,0.35724999999999996,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
68,0,0,0.23224999999999998,0,0,0.3548613843209609,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
69,1,1,0.20725,4,2,0.3507266966124076,0,0,1,0,0,1,0,6,1,0,0,0,0,0,1,0
70,0,0,0.31975,2,0,0.36344855811683735,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0
71,0,0,0.39475,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
72,0,1,0.19475,5,2,0.6199594201430055,0,0,1,0,0,1,0,7,6,0,0,0,0,0,1,0
73,0,0,0.25725,0,0,0.6907316473431995,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1,0
74,0,0,0.31975,1,0,0.4386984565615303,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
75,1,0,0.39475,0,0,0.6492173620225161,0,0,1,0,0,1,1,0,7,0,0,0,0,0,1,0
76,0,0,0.30724999999999997,0,0,0.34571188790034396,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
77,0,0,0.10725,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
78,0,0,0.79475,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
79,1,0,0.005124999999999999,0,2,0.54498356384555,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1
80,1,1,0.36974999999999997,0,0,0.4167393940590734,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0
81,0,0,0.26975,0,0,0.3689497812750522,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
82,1,0,0.35724999999999996,0,0,0.37676756853227744,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
83,1,1,0.39475,0,0,0.34823891001848967,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
84,0,0,0.34475,0,0,0.6206270580010311,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
85,1,1,0.20725,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
86,1,1,0.40725,3,0,0.4525537667382542,0,0,1,0,0,1,0,3,2,0,0,0,0,0,1,0
87,0,0,0.19475,1,3,0.5713912159474593,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,0
88,0,0,0.20725,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
89,1,1,0.28225,3,2,0.8934502391534316,1,0,0,0,0,1,0,5,4,0,0,1,0,0,0,0
90,0,0,0.29474999999999996,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
91,0,0,0.35724999999999996,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
92,0,0,0.24474999999999997,0,0,0.3494505372759428,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
93,0,0,0.56975,1,0,0.6617541548663702,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
94,0,0,0.31975,1,2,0.4921608575103547,0,0,1,0,0,1,0,3,2,0,0,0,0,0,1,0
95,0,0,0.73225,0,0,0.3381254838661527,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
96,0,0,0.19475,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
97,0,0,0.88225,0,0,0.5726509019154723,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
98,1,0,0.28225,0,1,0.6672842582473822,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
99,1,1,0.41974999999999996,0,1,0.5092286357428653,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0
100,0,0,0.41974999999999996,1,0,0.5281013477114938,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0
101,0,1,0.34475,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
102,0,0,0.29474999999999996,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
103,0,0,0.25725,0,1,0.698677405898743,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0
104,0,0,0.40725,0,0,0.3633108603971507,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
105,0,0,0.45725,2,0,0.3507266966124076,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0
106,0,0,0.34475,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
107,1,1,0.25725,0,0,0.34571188790034396,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
108,1,0,0.45725,0,0,0.34801082050793586,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
109,0,0,0.46975,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
110,1,1,0.60725,1,0,0.5167281848535599,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,0
111,0,0,0.5822499999999999,0,0,0.6361712049470615,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0
112,0,1,0.176,1,0,0.4386984565615303,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0
113,0,0,0.26975,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
114,0,1,0.24474999999999997,1,0,0.38165194930393287,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
115,0,1,0.20725,0,0,0.4387409607074707,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0
116,0,0,0.25725,0,0,0.3507266966124076,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
117,0,0,0.876,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
118,0,0,0.35724999999999996,1,0,0.49528655446802217,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0
119,0,0,0.29474999999999996,0,1,0.8837685600885563,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
120,0,1,0.01975,4,2,0.556695873257052,0,0,1,0,0,1,0,6,7,0,0,0,0,0,1,0
121,0,0,0.25725,2,0,0.6907316473431995,0,1,0,0,0,1,0,2,5,0,0,0,0,0,1,0
122,0,0,0.004125,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
123,0,0,0.40099999999999997,1,0,0.5506031046482882,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0
124,1,1,0.40099999999999997,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
125,0,0,0.66975,0,1,0.698677405898743,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0
126,1,0,0.14475,1,0,0.40135896919365455,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,1
127,0,0,0.81975,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
128,1,0,0.29474999999999996,0,0,0.33600813537757784,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
129,1,1,0.43224999999999997,1,1,0.5048860932177652,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0
130,0,0,0.55725,0,0,0.3326933414824967,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
131,0,0,0.40725,0,0,0.3502016019446998,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
132,0,0,0.24474999999999997,0,0,0.33419319194156843,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
133,0,1,0.5822499999999999,1,0,0.43917261968469046,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
134,1,1,0.35724999999999996,1,0,0.5281013477114938,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
135,0,0,0.30724999999999997,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
136,0,0,0.28225,0,0,0.444717815558286,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
137,1,1,0.23224999999999998,0,2,0.529773846609256,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0
138,0,0,0.45725,1,0,0.6394627518675874,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
139,0,0,0.19475,0,0,0.3723849402651219,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0
140,0,0,0.29474999999999996,0,0,0.7025447166880028,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0
141,0,1,0.19475,0,2,0.44670266490621674,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0
142,1,1,0.26975,0,0,0.3475536651219202,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
143,1,1,0.29474999999999996,1,0,0.4525537667382542,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0
144,0,0,0.23224999999999998,0,0,0.32810766862723467,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
145,0,0,0.21974999999999997,0,0,0.40470470937773706,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
146,0,0,0.23224999999999998,1,1,0.5818031659922842,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,0
147,1,0,0.33225,0,0,0.348390182281133,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
148,0,1,0.10725,2,2,0.5713912159474593,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,0
149,0,0,0.45099999999999996,0,2,0.5281013477114938,0,1,0,0,0,1,0,2,3,0,0,0,0,0,0,0
150,0,0,0.5197499999999999,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
151,0,0,0.63225,0,0,0.41733284975267587,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
152,1,1,0.26975,1,0,0.675158433212671,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
153,0,0,0.6885,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
154,0,0,0.501,0,2,0.43917261968469046,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0
155,0,0,0.29474999999999996,0,0,0.3393347941656439,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
156,0,0,0.63225,0,1,0.6622795418565016,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
157,1,1,0.19475,0,0,0.34724755706710003,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
158,0,0,0.36974999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
159,0,0,0.5822499999999999,0,0,0.36344855811683735,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
160,0,0,0.80725,8,2,0.682002570512027,0,0,1,0,0,1,0,10,7,0,0,0,0,0,1,1
161,0,0,0.54475,0,1,0.45491364524217526,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
162,1,1,0.49474999999999997,0,0,0.4515999969334424,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
163,0,0,0.31975,0,0,0.34801082050793586,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
164,0,0,0.20725,0,0,0.36344855811683735,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
165,0,0,0.007250000000000001,4,1,0.5938102861020564,0,0,1,0,0,1,0,5,6,0,0,0,0,0,1,1
166,1,0,0.10725,0,2,0.49178908738045096,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,1
167,1,1,0.31975,0,1,0.6449935901916026,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0
168,0,1,0.55725,1,4,0.5389979395502239,0,0,1,0,0,1,0,5,6,0,0,0,0,0,1,0
169,0,0,0.38225,0,0,0.527655637120605,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
170,0,0,0.34475,0,0,0.6492173620225161,0,0,1,0,0,1,1,0,7,0,0,0,0,0,1,0
171,0,0,0.75725,0,0,0.5673780187678832,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
172,0,0,0.04475,4,1,0.5456498136790771,0,0,1,0,1,0,0,5,5,0,0,0,0,0,1,1
173,1,1,0.007250000000000001,1,1,0.3999337912742492,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,0
174,0,0,0.25725,0,0,0.3507266966124076,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
175,0,0,0.69475,0,0,0.5537942554801266,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
176,0,0,0.21974999999999997,1,1,0.3494505372759428,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0
177,0,0,0.50725,3,1,0.5249047780663141,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,1
178,0,1,0.61975,0,0,0.5434405937293859,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
179,0,0,0.36974999999999997,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
180,0,0,0.44475,0,0,0.0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,1,0
181,0,1,0.25725,8,2,0.682002570512027,0,0,1,0,0,1,0,10,7,0,0,0,0,0,1,0
182,0,0,0.40725,0,0,0.44475975113808713,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
183,0,0,0.10725,4,2,0.5572534209632187,0,0,1,0,0,1,0,6,4,0,0,0,0,0,1,1
184,1,0,0.007250000000000001,2,1,0.5910796833899636,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,1
185,1,1,0.04475,0,2,0.5025832588136308,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0
186,0,0,0.34475,0,0,0.6300076429831359,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
187,1,1,0.39475,1,0,0.4491904349236085,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0
188,1,0,0.55725,0,0,0.5313325505056177,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
189,0,0,0.49474999999999997,1,1,0.4491904349236085,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,0
190,0,0,0.44475,0,0,0.3502016019446998,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
191,1,1,0.39475,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
192,0,0,0.23224999999999998,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
193,1,1,0.23224999999999998,1,0,0.3494505372759428,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
194,1,0,0.03225,1,1,0.5281013477114938,0,1,0,0,0,1,0,2,3,0,0,0,0,0,0,1
195,1,1,0.54475,0,0,0.5380012918108712,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
196,1,1,0.71975,0,0,0.8001979354812081,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0
197,0,0,0.21974999999999997,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
198,0,0,0.5197499999999999,0,1,0.3591068861516606,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
199,1,1,0.35724999999999996,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
200,0,1,0.29474999999999996,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
201,0,0,0.34475,0,0,0.37676756853227744,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
202,0,0,0.33225,8,2,0.682002570512027,0,0,1,0,0,1,0,10,7,0,0,0,0,0,1,0
203,0,0,0.41974999999999996,0,0,0.32276390619844325,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
204,0,0,0.5635,0,0,0.33763919258513786,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
205,1,0,0.21974999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
206,0,1,0.01975,0,1,0.3908208840039564,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
207,0,0,0.39475,1,0,0.4525537667382542,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0
208,1,0,0.31975,0,0,0.47830314928475054,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0
209,1,1,0.19475,0,0,0.3475536651219202,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
210,1,0,0.49474999999999997,0,0,0.5553247552872788,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
211,0,0,0.29474999999999996,0,0,0.33419319194156843,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
212,1,1,0.43224999999999997,0,0,0.49528655446802217,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
213,0,0,0.26975,0,0,0.3381254838661527,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
214,0,0,0.36974999999999997,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
215,0,0,0.01975,1,0,0.3475536651219202,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
216,1,1,0.38225,1,0,0.7592806561689713,1,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0
217,1,1,0.33225,0,0,0.3507266966124076,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
218,0,0,0.5197499999999999,1,0,0.5339286391341468,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0
219,1,1,0.39475,0,0,0.6966262055441308,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
220,0,0,0.36974999999999997,0,0,0.39134423619738523,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
221,1,0,0.19475,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
222,0,0,0.33225,0,0,0.42286368807669106,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
